unitid,calsys,crsloc1,crsloc2,crsloc3,crsloc4,crsloc5,crsloc6,facloc1,facloc2,facloc3,facloc4,facloc6,facloc7,facloc8,facloc9,facloc10,facloc12,mili,mil1insl,mil2insl,admreq1,admreq2,admreq3,admreq4,admreq5,admreq6,admreq7,admreq8,admreq9,admreq10,admreq11,admreq12,yrscol,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10,mode11,mode12,mode13,mode14,stusrv1,stusrv2,stusrv3,stusrv4,stusrv5,stusrv6,stusrv7,stusrv8,stusrv9,libfac,libshar1,libshar2,libshar3
"100849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100858","2","1","","","1","","","1","","1","1","","1","","1","1","1","1","1","","1","1","1","1","1","","1","","","1","1","","","1","1","1","1","","","","1","1","1","1","1","","","","1","1","1","1","1","1","","","1","","",""
"100867","5","1","","","","","","","","","","1","","","","","","2","","","1","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
"100885","2","1","","","","","","1","","","","","","","","","","2","","","1","1","","","","","","","","","","","4","1","1","1","","","","","1","","","","","","","","1","1","1","1","1","1","","1","1","","",""
"100900","6","1","","","","","","","","","","1","","","","","","2","","","1","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","3","","",""
"100919","2","1","","","1","","","1","","","","1","1","","","","","2","","","1","","1","","","1","1","1","1","","","","","1","1","","","","","","","","","","","","","1","1","1","1","","1","1","","","1","","",""
"100928","1","1","","","","","","","","","","1","","","","","","2","","","","","","","","","","","","","1","","4","","","","","","","1","","","","","","","","","1","1","1","","","","","","3","","",""
"100937","4","1","","","","","","1","","","","","","","","","","2","","","1","1","1","1","1","","","1","","1","1","","","","1","","","","","","","","","","","","1","","1","1","1","","","1","","","1","","",""
"100964","2","1","","","1","","","1","","1","","","1","","1","","","2","","","1","","","","","","","","","1","","","","1","1","","","","","","","1","","","","","","1","1","","","","","1","","","1","","",""
"100973","2","1","","","","","","1","","","","","","","","","1","2","","","1","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","1","1","1","1","","","","","","3","","",""
"100982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100991","2","1","","","","","","1","","","","1","","","","","","2","","","1","","1","","","1","","1","1","","","","","1","1","","","","","","","","","","","","","1","1","1","1","","","1","","","1","","",""
"101000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101019","6","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","1","","","","","","1","","","","","","","","","","","","","","1","","1","","","1","","","1","","",""
"101028","2","1","","","1","1","","1","","","","","1","","","1","","2","","","1","","","","","","","1","","1","","","","","1","","","","","","","","","","","","1","1","1","","","","1","1","","","1","","",""
"101037","2","1","","","1","","","1","1","","","","1","","","","","2","","","1","","","","","","1","1","1","","","","","1","1","","","","","","1","1","","","","","","1","1","1","","","","1","1","","3","","",""
"101046","6","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","1","","","","","","1","","","","","","","","","","","","","1","1","1","1","","","1","","","","","",""
"101055","6","1","","1","","","","1","","","","","","","","","","2","","","1","","","","","","","1","1","","","","","1","1","","","","","","","","","","","","","1","1","1","1","","","1","","","1","","",""
"101073","1","1","","","","","","1","","","","1","","","","","","2","","","1","","","","","","","1","","","","1","","","","","","","","1","","","","","","","","1","1","","","","","1","","","1","","",""
"101107","2","1","","","","","","1","","","","","1","","","","","2","","","1","","","","","","","1","1","","","","","1","","","","","","","","","","","","","","1","1","1","1","","","1","","","1","","",""
"101116","2","1","","","","","","1","","","","","","","","","","2","","","1","","1","1","1","","","","","","","","","","1","","","","","","","","","","","","","1","1","1","1","","","1","","","1","","",""
"101125","2","1","","","","","","1","","","","","","","","","","2","","","1","1","1","","1","","","1","1","","","","","1","1","","","","","","","","","","","","","","1","1","","","","","","","1","","",""
"101143","2","1","","","1","","","1","","","","","1","","","","","1","1","","1","","","","","","","","","1","","","","","1","1","","1","","","","","","","","","1","1","1","1","1","","","1","1","","1","","",""
"101161","2","1","","","1","","","1","","1","","","1","","1","","","2","","","1","","","","","","","","","1","","","","","1","","","","","","","","","","","","1","1","1","1","","1","1","1","","","1","","",""
"101189","1","1","","","1","","","1","1","","1","1","1","","","1","1","1","1","","1","","1","","1","","","1","1","1","","","","","","","","","","1","","","","","","","1","1","1","1","","","","","","","1","","",""
"101198","2","1","","","1","","","1","","","","","1","","","","","2","","","1","","","","","","","","1","1","","","","","","","","","","1","","","","","","","1","1","1","1","","","","","","","1","","",""
"101204","2","1","","","1","","","1","","","1","1","1","","","1","1","1","1","","1","","1","","1","","","1","1","1","","","","","","","","","","1","","","","","","","1","1","1","1","","","","","","","1","","",""
"101213","2","1","","","1","","","","","","","","1","","","","","2","","","1","","","","","","","","1","1","","","","","","","","","","1","","","","","","","1","1","1","1","","","","","","","1","","",""
"101231","5","1","","","","","","1","","","","","","","","","","2","","","1","","","","","1","","1","","","","","","","1","","","","","","","","","","","","","","1","1","1","","","","1","","3","","",""
"101240","2","1","","","1","","","1","1","","1","1","1","1","","1","1","1","1","","1","","1","","","1","","1","1","1","","","","1","","","","1","","","","","","","","","","1","1","1","1","1","1","1","","","1","","",""
"101268","5","1","","","","","","1","","","","","","","","","","2","","","1","","","","","1","","1","","","","","","","1","","","","","","","","","","","","","","1","1","1","","","","","","3","","",""
"101277","6","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","1","","1","","","","1","","","","","","","","","","","","","","1","","","","","","","","1","","",""
"101286","2","1","","","1","","","1","","","1","1","1","","","","1","1","1","","1","","","","","","","1","","1","","","","1","1","","","","","","","","","","","","1","1","1","1","1","1","1","1","","","1","","",""
"101295","2","1","","","1","","","1","","1","1","","1","","","","","2","","","1","","1","","1","","","1","","1","","","","1","1","","","","","","","","","","","","1","1","1","1","1","","","1","","","1","","",""
"101301","2","1","","","1","","","1","","","","","1","","","","","2","","","1","","","","","","","1","","1","","1","","","","","","","","1","","","","","","","1","1","1","1","1","1","1","1","","","1","","",""
"101310","5","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","1","1","1","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","",""
"101338","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101347","2","1","","","","","","1","","","","","1","","","","","2","","","1","","","","","","1","1","1","","","","","","1","","","","","","","","","","","","","1","1","1","1","1","1","1","","","3","","",""
"101365","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101383","2","1","","","1","","","1","","","","","1","","","","","2","","","1","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","1","1","1","1","","","1","","","1","","",""
"101392","6","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","1","3","","",""
"101417","6","","","","","","","","","","","","","","","","","2","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","",""
"101426","2","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","","","","","","","","","","","","1","","","","","","","","1","1","1","1","","","","","","1","","",""
"101435","1","1","","","1","","","1","","","","","1","","","","","2","","","1","1","1","1","1","","","1","","1","","","","1","1","","","","","","1","1","","","","","","1","1","1","1","","","","","","1","","",""
"101444","2","1","","","","","","1","","","","","","","","","","2","","","1","","1","1","1","1","","","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","1","1","","",""
"101453","1","1","","","1","1","","1","","","","","1","","","","1","2","","","1","","","","","","","1","","1","1","","","","1","","","","","","","","","","","","","1","1","1","1","","","1","1","","1","","",""
"101462","2","1","","","1","","","1","","","","","1","","","","","2","","","1","","","","","","","1","1","","1","","","1","1","","","","","","","","","","","","","1","1","1","1","","","1","","","","","",""
"101471","2","1","","","","","","1","1","","","","","","","","","2","","","1","","","","","","","1","","","","","","","1","1","","","","","","","","","","","","1","1","1","1","1","1","1","","","1","","",""
"101480","1","1","","","1","","","1","","1","1","","1","","1","1","","1","1","","1","1","1","1","1","","","","","1","","","","1","1","","","","","","1","","","","","","","1","1","1","1","1","1","1","1","","1","","",""
"101499","2","1","","","1","","","1","1","1","","","1","","","","","2","","","1","","","","","","","","","1","","","","","1","","","","","","","","","","","","","1","1","1","1","","","1","","","1","","",""
"101505","2","1","","","1","","","1","","1","","1","1","","","","","2","","","1","","","","","","","","","1","","1","","1","1","1","","1","","","","","","","","","","1","1","1","1","1","1","1","","","1","","",""
"101514","2","1","","","1","","","1","1","","1","1","1","","1","","1","1","1","","1","","","","","","","1","","1","","","","1","1","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","","1","","",""
"101523","2","1","","","1","","","1","","","","","1","","","","","2","","","1","","","","","","","1","1","","","","","","","","","","","1","","","","","","","1","1","1","1","1","1","1","1","","","1","","",""
"101532","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101541","1","1","","","1","","","1","","","","","1","","","","","2","","","1","","1","1","1","","","","","1","1","","","1","1","","","","","","","","","","","","1","","1","","1","","","","","","1","","",""
"101550","5","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","1","","","","","","1","","","","","","","","","","","","","","1","1","1","","","1","","","1","","",""
"101569","2","1","","","1","","","1","1","1","","1","1","1","","","1","2","","","1","","","","","","","1","","1","","1","","1","1","","","","","","","","","","","","","1","1","1","1","","","1","","","1","","",""
"101578","6","1","","","","","","","","","","1","","","","","","2","","","1","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","1","","",""
"101587","2","1","","","1","","","1","","1","","","1","","1","","","2","","","1","","1","","1","","","","","1","","","","1","1","","","","","","","","","","","","","1","1","1","1","","","1","","","1","","",""
"101602","2","1","","","1","","","1","","1","1","","1","","1","","","2","","","1","","","","","","","","","1","","","","1","","","","","","","","","","","","","","1","1","1","1","","","1","","","1","","",""
"101611","2","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","1","","","1","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","",""
"101639","5","1","","","","","","1","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"101648","1","1","","","","","","1","","","","","","","","","","2","","","1","","1","1","1","1","","1","","","","","","","","","","","","1","","","","","","","1","1","1","","","","","","","","1","","",""
"101657","5","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","1","","",""
"101675","1","1","","","","","","1","","","","","","","","","","2","","","1","","1","","1","","","","","","","1","","","","","","","","1","","","","","","","1","1","1","1","1","","","1","","","1","","",""
"101684","6","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","","1","","1","","","","1","","","","","","","","","","","","","","1","","1","","","","","","1","","",""
"101693","1","1","","","1","","","1","","","","1","1","","","","1","2","","","1","1","1","1","1","","","","","1","1","","","1","1","","","","","","","","","","","","","1","1","1","1","","","1","1","","1","","",""
"101709","1","1","","","1","","","1","","","","1","1","","","","1","2","","","1","1","1","1","1","","","","","1","","","","1","1","","","","","","1","1","","","","","","","1","1","1","1","1","1","","","1","","",""
"101736","2","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","1","1","","1","","","","","","","","1","","","","","","","1","1","1","1","1","","","1","1","","1","","",""
"101772","2","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","","","","","","","","","","","","1","","","","","","","","1","1","1","1","","","","","","1","","",""
"101781","2","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","","","","","","","","","","","","1","","","","","","","","","1","1","1","","","","","","1","","",""
"101790","2","1","","","","","","1","","","","","","","","","","2","","","1","","","","","1","","","1","","","","","","1","","","","","","","","","","","","","","1","1","1","","","","","","1","","",""
"101824","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101833","1","1","","","","","","1","","","","1","","","","","","2","","","","","1","","1","1","","1","","","1","","","","1","","","","","","","","","","","","","1","1","1","1","","","1","","","3","","",""
"101851","6","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","","","","","","","1","","","","","","","","","","","","","1","1","1","1","","","1","","","","","",""
"101860","2","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","","","","","","","","","","","","1","","","","","","","","1","1","1","1","1","1","1","","","","","",""
"101879","1","1","1","","1","","","1","","","","","1","","","","1","2","","","1","1","1","1","1","","","","","1","","","","","1","","","","","","","","","","","","1","1","1","1","1","","","1","1","","1","","",""
"101897","2","1","","","1","","","1","","","","","1","","","","","2","","","1","","","","","","","","","1","","","","1","","","","","","","","","","","","","","1","1","1","1","1","1","1","","","1","","",""
"101903","2","1","","","1","","","1","","","","","1","","","","","2","","","1","","1","","","1","","1","1","","","","","1","","","","","","","","","","","","","1","1","1","1","1","1","1","1","","","1","","",""
"101912","2","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","","","","","","","1","1","","","","","","","","","","","","","1","1","1","1","","","1","","","","","",""
"101921","2","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","1","1","","","","","","","","","","","","1","","","","","","","","","1","1","1","","","1","","","2","251260","",""
"101949","2","1","","","1","","","1","","1","1","","1","","1","1","","2","","","1","","","","","","","1","","","","","","","","","","","","1","","","","","","","1","1","1","1","1","1","1","1","","","1","","",""
"101958","2","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","1","","","","","","1","","",""
"101967","5","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","1","1","1","","","","","","","","",""
"101985","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101994","2","1","","","1","","","1","","","","1","1","","","","1","2","","","1","","1","","","1","","1","1","","","","","1","1","","","","","","","","","","","","1","1","1","","1","","","1","","","3","","",""
"102003","5","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","","","1","","","","1","","","","","","","","","","","","","","","","1","","","","","","1","","",""
"102012","6","1","1","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","","","","","","","1","","","","","","","","","","","","","","1","1","1","","","1","","","","","",""
"102030","2","1","","","1","","","1","","1","1","1","1","","","","","1","1","","1","","","","","","","","","1","","1","","1","1","","","","","","","","","","","","","1","1","1","1","1","1","1","1","","1","","",""
"102049","4","1","","1","1","","","1","","","","1","1","","","","1","2","","","1","","1","1","1","","","1","","1","1","","","1","1","","","","","","1","1","","","","","","1","1","1","1","1","1","1","","","1","","",""
"102058","1","1","","","1","","","1","","","","","1","","","","","2","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","1","","","","","","","","1","","",""
"102067","2","1","","","1","","","1","","","1","","1","","","","","2","","","1","","","","","","","1","","","","","","","","","","","","1","","","","","","","1","1","1","","1","","","1","","","1","","",""
"102076","2","1","","","1","","","1","","1","1","1","1","","1","","","2","","","1","","","","","","","","","","","","","1","1","1","","1","","","","","","","","","1","1","1","1","1","","","1","","","1","","",""
"102085","6","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","","1","","1","","","","1","","","","","","","","","","","","","","1","","1","","","","","","1","","",""
"102094","2","1","","1","1","","","1","","1","","1","1","","1","1","","2","","","1","","1","","1","","","1","","1","","","","1","1","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","","1","","",""
"102100","2","1","","","1","","","1","","1","","","1","","1","","","2","","","1","","1","","1","","","1","1","1","","","","","","","","","","1","","","","","","","1","","1","","","1","1","1","","","1","","",""
"102119","6","1","","","1","","1","1","","","","","1","","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","",""
"102128","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102155","2","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","","","1","","","","","1","","","","","","","","","","","","","1","1","1","1","","","1","","","1","","",""
"102164","2","1","","","1","","","1","","","","","1","","","","","2","","","1","","1","","","1","","","","","1","","","","1","","","","","","","","","","","","1","1","1","1","1","","","1","","","1","","",""
"102216","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102225","2","1","","","1","","","1","","","","","1","","","","1","2","","","1","","1","","","1","","1","1","1","","","","","","","","","","1","","","","","","","1","1","1","","1","","1","1","","","3","","",""
"102234","1","1","1","","1","","","1","","","","","","","","","","2","","","1","1","1","1","1","","","1","","1","1","","","1","1","","","","","","1","1","","","","","","1","1","1","1","1","","1","","","1","","",""
"102243","2","1","","","","","","1","","","","","","","","","","2","","","1","1","1","1","1","","","1","1","","","","","","1","","","","","","","","","","","","","1","1","","1","","","","","","1","","",""
"102261","1","1","1","","1","","","1","","","","1","1","","","","","2","","","1","1","1","1","1","","","1","","1","","","","","","1","1","","","","","","","","","","1","1","1","1","1","","","1","","","1","","",""
"102270","1","1","","","","","","1","","","","","","","","","","2","","","1","","1","1","1","","","","","1","","","","","","","","","","1","","","","","","","1","1","1","1","1","","","","","","1","","",""
"102289","2","1","","","","","","1","","","","1","","","","","","2","","","1","1","1","","1","","","","","","1","","","","1","","","","","","","","","","","","","1","1","1","1","","","","","","1","","",""
"102298","1","1","","","","","","1","1","","","","","","","","","2","","","1","1","1","1","1","","","1","","1","","","","1","1","","","","","","","","","","","","1","1","1","1","1","","","1","","","1","","",""
"102313","2","1","","","1","","","1","","","","","1","","","","","1","1","","1","","1","","","1","","1","1","1","","","","1","1","","","","","","","","","","","","","1","1","1","1","","","1","1","","1","","",""
"102322","2","1","","","1","","","1","","","","","1","","","","","1","1","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","1","1","1","1","1","","","1","","","1","","",""
"102331","2","1","1","1","","","","1","","","1","","","","","","","1","1","","1","","1","","","1","","","","1","","","","","","","","","","1","","","","","","","1","","1","1","1","1","","1","","","1","","",""
"102340","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102359","2","1","","","1","","","1","","1","1","","1","1","","1","1","1","1","","1","","1","1","1","","","","","1","","","","","1","1","1","1","","","","","","","","","1","1","1","1","1","1","1","1","","","1","","",""
"102368","2","1","1","1","1","1","","1","","","1","","1","","","1","","1","1","1","1","","1","1","1","","","","","1","","","","1","1","","","","","","","1","","","","","","1","1","1","1","","","1","1","","1","","",""
"102377","1","1","","","1","","","1","","","","","1","","","","","2","","","1","","1","1","1","","","","","1","","","","1","1","","","","","","","","","","","","","1","1","1","1","","","1","1","","1","","",""
"102386","1","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","1","","1","","","","1","","","","","1","","","","","","","","","1","1","1","","","1","","","3","","",""
"102395","2","1","1","1","1","1","1","1","","","","1","","","","","1","2","","","","","1","","","1","","","","1","1","","4","1","1","1","1","","","","","","1","1","","","","","1","1","","1","1","1","","","1","","",""
"102410","1","1","","","","","","1","","","","","1","","","","","2","","","1","","1","","1","","","","","1","","1","","","","","","","","1","","","","","","","1","1","1","1","","","","1","1","","1","","",""
"102429","2","1","","","","","","1","","","","1","","","","","","2","","","1","","1","","","1","","1","","","","","","","1","","","","","","","","","","","","1","1","","","1","","","1","1","","1","","",""
"102438","","1","","","","","","","","","","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","3","","",""
"102508","5","1","","","","","","1","","","","","","","","","","","","","1","1","","","","","","1","1","1","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","",""
"102526","5","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","1","1","","","1","","","","1","","","","","","","","","","","","","","1","","1","1","1","1","","","1","","",""
"102553","1","1","","","1","","","1","1","1","1","1","1","1","1","1","","1","1","","1","1","1","1","1","","","1","1","1","","","","1","1","1","","1","","","","","1","","1","","","1","1","1","1","1","1","1","1","","1","","",""
"102562","3","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","1","","","","","1","1","","","","","","","","","","","","","1","1","1","1","","","","1","","1","","",""
"102580","1","1","","","","","","1","","","","1","","","","","","2","","","1","","1","1","1","","","1","","1","1","","","","1","","","","","","","","","","","","1","1","1","1","","","","","","","1","","",""
"102605","3","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","","","1","","","","","","","","","","","","1","","","","","","","","1","1","1","1","","","","1","","1","","",""
"102614","1","1","","","1","","","1","1","1","1","","1","","1","1","","2","","","1","1","1","1","1","1","","1","1","1","","","","","","1","1","1","","","","","","","","","1","1","1","1","1","","","1","","","1","","",""
"102623","5","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","1","","","1","","","","","","","","","1","","","","","","","","1","","","","","","","","","3","","",""
"102632","1","1","1","","1","","","1","1","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","","","","1","1","","1","","1","1","","","","","","","","","","","","1","1","1","","","","","1","1","","1","","",""
"102669","1","1","","","1","","","1","","","","1","1","","","","1","2","","","1","1","1","1","1","1","","","","1","","","","1","1","","","","","","","","","","","","","1","1","1","","","","1","","","2","102553","",""
"102711","5","","","","1","","","1","","","","","1","","","","","","","","1","","","","","","","1","1","","","","","","","","","","","","","1","","","","","","1","1","1","1","","","1","","","","","",""
"102748","6","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"102793","5","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","1","1","1","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","",""
"102818","5","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","","1","1","1","","","1","","","3","","",""
"102845","2","1","","","","","","1","","","","","","","","","","","","","1","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","1","","1","","","1","","","","","",""
"102872","5","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","1","1","1","","","","","","","","",""
"102906","1","1","1","1","","","","1","","","","","","","","","","2","","","1","","1","1","1","","","1","1","","1","","","","","1","1","","","","","","","","","","","1","1","","","","","","","","","","",""
"102915","5","1","","","1","","","","","","1","","","","","1","","1","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","1","","","",""
"102951","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102960","2","1","","","","","","1","","","","1","","","","","","2","","","1","","","","","","","","1","","1","","","","1","","","","","","","","","","","","1","","1","","1","","","1","","","1","","",""
"103024","6","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","1","","",""
"103194","5","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","3","","",""
"103246","5","1","1","1","","","","1","","","","1","","","","","","2","","","1","","1","","","","","1","1","","","1","","","1","","","","","","","","","","","","","","1","","","","","","","1","1","","",""
"103255","1","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","","1","","1","","","1","1","","","","","","","","","","","","","1","1","1","1","","","1","","","3","","",""
"103352","5","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","1","1","","1","","","1","","","1","","",""
"103361","1","1","","","1","","","1","","1","","","1","","1","","1","2","","","1","1","","","","","","","1","1","1","","","1","1","","","","","","","","","","","","1","1","1","1","1","","","","","","2","","",""
"103440","4","1","","","1","","","1","","","1","","1","","","","","2","","","1","","","","","","","","","1","","","","1","1","","","","","","","","","","","","","1","1","1","","1","","1","1","","1","","",""
"103468","1","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","","","","","","","","","","","","1","","","","","","","1","1","1","","","","","","","","1","","",""
